"HolderAddress","Balance","PendingBalanceUpdate"
"0x0006c3a51d493fd32f52dbcfbe26215e077ef1bd","0.000263532501956837","No"
"0x01a5b41fbf81b379f362be632679255d41702591","0.00115641911000029","No"
"0x0238bc6ef3fd2df20506f6ca1b6acd92b6e5659d","0.01","No"
"0x02f93d46c2b56777e9c82cf40917979375c2c711","17.7","No"
"0x030177c1874a657d3293efa71b632d86abaf10c2","0.007","No"
"0x03f5d13885062b440325e3d7e6e742884197ee9e","1.4439387609734E-05","No"
"0x0435e3deb2ca62a77d9d9c6501f92ebbf4c1e8f6","3.0686330750368E-05","No"
"0x0581b8a0387df9252b4b9673fb1aea6610e966f9","6.495088420685E-06","No"
"0x0794a504f78f5d80b0b46dace93c593fc8219d53","0.00232960983072783","No"
"0x07d9b31fb4e7b0c5fce7bdec1253334ebf5e9767","9E-05","No"
"0x08197f4c5045cab909a24f42cf5d95f97627db56","0.0041126241669456","No"
"0x08aba4a72d866c1fc1dda72508e0cd47388304ac","10.6399572935215","No"
"0x08ca9770bcacc5e1f4125919fecfbec621e8d8be","0.0001","No"
"0x08ec5e19741cfadd0e85363e966db7456ce0c1f8","0.0025503581236068","No"
"0x0943c1fc227929cd6e1e04096b9c7336b80e5c81","0.000511961961639515","No"
"0x0a019ac72b4133b0f2f8de684e0ad56bf61b8fb6","8.485594061563E-06","No"
"0x0a9ebc715565a278e18a2b2ed379ec507b422e0d","9.904739031139E-06","No"
"0x0b17cf48420400e1d71f8231d4a8e43b3566bb5b","0.570298798351646","No"
"0x0bd932f830f11071cbe90165bf2cd2670ab7c11d","0.00107503462369888","No"
"0x0c0fca02707b45af5d6e7deb0a26ef93d92ecdf9","0.010228523","No"
"0x0d18d9eb6fbaafdfa53885e2f72a6f87f34272ca","3E-18","No"
"0x0d9c95b4c7fc61d25d1e450e32f8d0b1fb8abb37","9.9999987223621E-05","No"
"0x0e5405a6a5fefba8444179ac3e0cf8696972e41a","0.000220358037292389","No"
"0x0f358519c3c73638529be0bfb8fe887f2c8ed7c9","7.1693806269764E-05","No"
"0x0ff1b8a9e45696e644551fdc5bd11f05056ef03c","1E-06","No"
"0x10b549dfea119302a96f23d7e53f49a059b50037","0.00524649933648953","No"
"0x1111111254eeb25477b68fb85ed929f73a960582","1E-18","No"
"0x118e0804ca176184f0b91f361fedc96932ba0971","8.2263234679177E-05","No"
"0x1230d7f1db4764c1906a09dc586682013eb3ac2a","0.00273787171887765","No"
"0x1274cc1025ab1628e1dadc6079aea4ed0c5bd1de","3.3583854857285E-05","No"
"0x129f578a8560f73402cfa6b1264b3f0be75b5615","5.91034908409E-06","No"
"0x12b21d1e73b3b48d73da04ed05417b392c7fe55f","7.3330912073666E-05","No"
"0x13954509ef0fd700a311b5970337f14c5103da89","9.7410244343136E-05","No"
"0x13d411c6beddba45fdaf25e8fcc6824bfb373185","0.00137360143698621","No"
"0x14e27302100a769b3821333ea9276d77bb7f8832","6.99636054676971","No"
"0x14e92be2c8ed0114504569e3ecd5f2204dc379af","23.5725285970734","No"
"0x15648dd703c8f662d8fe59501985c73237658f25","0.00322780454709724","No"
"0x157ff0472d5b05c329295bb50e2a2c8ce59acfba","0.000589454721796687","No"
"0x16a1f016a5a371ad096be434b287b1151c4d7cb7","0.000786009660741904","No"
"0x16c9662dc7b889488ca709c43b93737860991bea","2.5419627881816E-05","No"
"0x1861974f32eacdcced0f81b0f8eccfed58153a9d","0.5","No"
"0x189182c3062b609b831bb161d68d77e8256324d9","6.8542415912372E-05","No"
"0x19ac681d9c4c2ad696a5705fcdbb650409e3d0bd","0.000104119141990091","No"
"0x1a9f50607cc4064a726901a4fddf5d29eee8b6f9","0.00170328916174522","No"
"0x1b04227bc12c71ca0b5956a706b8dc1f597fe7d0","4.5994292092639E-05","No"
"0x1b5b4fcedf1252cd92496a2fd5c593b39ac49b01","1E-18","No"
"0x1cd8832ff86e1c5a4656562ddebf603547e85bcb","0.000245094431012863","No"
"0x1e010678c61092487abbf6b07d1c8844ed788997","0.000738280982349206","No"
"0x1f7dda4679208fc567bca9e54e92aeccc80ebba8","0.341878872437832","No"
"0x1fb99c83110726b40ba6bace5044580675d22f04","0.00352841469618958","No"
"0x20f2abbad016573389f4bf69df76b81e60ace2fe","6.70166235819E-07","No"
"0x21b73000c178b2e2bdab55b89a7188fcd53003cc","0.000617609806885247","No"
"0x23319e4d67ad0673a73f54d9d1666ce3e0439265","0.000325692750337125","No"
"0x25105ad54d73b6345148cc7787c3ce180e4804d5","0.0575770849406222","No"
"0x253f6d6c6686664c8fbe8296668933857b88c151","0.0253394155173601","No"
"0x25c969e5a75cd16cbdbf874c0248c90ddcbdd29e","6E-18","No"
"0x25fdb535e104ac3b44c9d003cf0b639ec6274508","3.825279112433E-06","No"
"0x28888b5b8e4080b1faaabcbc07b638c9603a73a6","0.000408289873991118","No"
"0x29062bede8e1bb5e453d1a6c49b0a8c97178dfae","0.0032483535481573","No"
"0x2a9a5f194de9562a62fd927fe3cf9cc4dc449c13","3.754693980249E-06","No"
"0x2b249940767ff52f0a0ddfb4c1d0c92f3158aa0a","0.000121534624755153","No"
"0x2b28eac28d19cc94e1bc6ea997dbfe890b384c95","0.000776646","No"
"0x2b42b44b7a0b855afdc48a0137ade580bae98ffe","2.12302816142036","No"
"0x2cf8930e1021a27aa587c79dd718be897deee132","111.704531160272","No"
"0x2dd85e9f18c810418d0ea0931f050bc6ba2ebfe8","5.1026473203245E-05","No"
"0x2e85f2eca7d48ee019b467b9c3a016f6c9e09577","6.7179951642063E-05","No"
"0x3118e922fc7ac40442f240e8926e5dd247bb6c30","0.00148341640541164","No"
"0x3119db8a9105d142469b6fb251d54080e2a8a75e","4.999999999999E-06","No"
